id,fecha_evento,planeado,evento,lugar,intrusion
1,8/15/2021,false,Mike Whiskey Oscar Bravo X-ray Uniform Quebec Alfa India Romeo Golf Victor,AF,true
2,12/25/2021,true,Hotel Bravo Kilo Zulu Lima Yankee India Uniform Victor Alfa Papa November Golf Oscar Quebec,AS,true
3,9/30/2021,false,Mike Delta Charlie Juliett Whiskey Sierra Hotel Lima Romeo India Bravo Golf Papa Tango Zulu X-ray Yankee Victor Oscar,NA,false
4,7/17/2021,false,Foxtrot X-ray Echo Romeo Yankee India Juliett Zulu Tango Charlie Victor Delta Oscar Sierra,AF,true
5,12/14/2021,true,Quebec Yankee Foxtrot India X-ray Zulu Golf Lima Alfa Tango November Sierra Delta Kilo Romeo Hotel Papa,AF,true
6,11/12/2021,true,November Papa Sierra Victor Golf Kilo Hotel Quebec Whiskey Uniform X-ray Juliett Oscar Tango,AF,true
7,12/30/2021,true,Sierra Whiskey Lima Bravo Alfa Victor Golf Juliett India November Delta Oscar X-ray Foxtrot Uniform Mike,NA,false
8,9/10/2021,false,Quebec Oscar Lima Romeo Kilo Yankee Victor Alfa Golf Uniform,NA,true
9,7/13/2021,false,Whiskey Bravo Zulu Juliett Victor Golf Papa Delta Charlie Tango Echo Quebec Kilo India,NA,false
10,12/11/2021,false,Delta Lima Quebec Charlie Yankee Oscar Zulu India Kilo Foxtrot Sierra Tango Echo Alfa Juliett Papa Whiskey,NA,true
11,12/12/2021,true,Uniform Echo Hotel Kilo Mike Bravo Quebec Alfa November Sierra Papa,NA,true
12,8/10/2021,false,Oscar Whiskey Tango Yankee Foxtrot Charlie Romeo Sierra Quebec India X-ray Delta Uniform November Echo Victor Zulu,OC,true
13,10/11/2021,false,Charlie Bravo India Lima X-ray November Oscar Quebec Victor Uniform Papa Juliett Echo Whiskey Foxtrot,AS,true
14,10/20/2021,true,Echo Alfa November Charlie Sierra Lima Foxtrot Papa India Mike Yankee Golf Juliett Kilo Romeo Uniform Whiskey Victor,OC,false
15,9/9/2021,false,Foxtrot Oscar Sierra X-ray November Echo Quebec Mike India Hotel Delta Bravo Yankee Kilo Zulu,NA,false
16,10/12/2021,true,Whiskey Lima Tango Foxtrot November Golf Sierra Oscar Uniform Alfa Mike Hotel Charlie Bravo Quebec Papa Victor Kilo X-ray,NA,false
17,9/15/2021,false,Sierra Yankee Hotel Lima X-ray Delta Uniform Echo Tango Quebec Whiskey Foxtrot Papa Juliett November Mike Charlie,AS,false
18,8/16/2021,true,Papa Romeo Quebec Victor Mike X-ray Foxtrot Whiskey Hotel Yankee November India,EU,false
19,10/2/2021,true,Quebec Echo India Lima Delta Bravo Whiskey Mike X-ray Hotel Charlie Kilo Zulu,NA,true
20,10/3/2021,false,Uniform India Romeo Tango Quebec Juliett Mike Delta Foxtrot Charlie November Bravo Echo Zulu Whiskey Oscar Lima Sierra Yankee,NA,true
21,10/8/2021,true,Romeo Yankee X-ray Charlie Lima Kilo Uniform Whiskey Delta Echo Hotel India Zulu Oscar Tango Victor Foxtrot Sierra,SA,false
22,10/21/2021,false,Charlie Tango Lima Delta India Bravo Victor November Echo Foxtrot Kilo X-ray Juliett Mike Sierra Uniform Quebec Romeo,AF,false
23,11/17/2021,true,Juliett Kilo Mike India Tango Hotel Whiskey Zulu Yankee Echo Bravo November Charlie Papa Oscar Lima Delta Foxtrot Golf Quebec,AF,false
24,12/20/2021,false,Oscar Whiskey November X-ray Echo Tango Quebec Hotel Papa Golf Juliett Alfa Charlie Yankee Lima Uniform India Delta,SA,true
25,10/3/2021,false,Romeo Quebec Oscar Hotel Uniform Delta Sierra Echo India Kilo Victor Alfa Bravo,OC,false
26,8/4/2021,false,Hotel Kilo Zulu Tango Uniform Delta Lima X-ray Alfa Juliett Whiskey Oscar Golf,NA,true
27,8/9/2021,true,Uniform November Oscar Quebec X-ray Delta Whiskey Mike India Juliett Bravo Papa Lima Victor Alfa Foxtrot Yankee Romeo Charlie Tango,SA,true
28,11/9/2021,false,Romeo Sierra Delta India Golf Bravo Mike Victor Juliett Charlie Alfa Yankee Quebec Foxtrot Oscar,OC,false
29,9/25/2021,true,Oscar Bravo Victor Whiskey Zulu Sierra Echo Kilo Charlie Mike Papa Uniform Romeo Quebec Juliett Golf Hotel Lima Tango,NA,false
30,8/19/2021,false,Oscar Golf Uniform Tango Delta Juliett Kilo November Echo India X-ray Yankee Romeo Charlie Zulu Papa Lima Mike Quebec Whiskey,OC,false
31,7/24/2021,false,India Zulu Tango Romeo Delta Golf Oscar Victor Quebec Whiskey Alfa,AF,false
32,7/24/2021,false,Mike Charlie November Whiskey Kilo Foxtrot Yankee Alfa Zulu Papa Echo X-ray Golf,OC,false
33,8/21/2021,true,Lima Victor Uniform Quebec Oscar Sierra X-ray Alfa Delta Hotel Bravo,OC,true
34,8/22/2021,true,Charlie Hotel Kilo Papa Foxtrot Echo Mike Bravo Oscar Yankee X-ray Golf,EU,false
35,9/2/2021,true,November Juliett Charlie Delta Oscar Echo Mike Kilo Whiskey Papa Sierra Hotel Tango Foxtrot Golf Victor,NA,true
36,7/9/2021,false,November India Tango Delta Uniform Hotel Bravo Quebec Juliett Echo Charlie Sierra Whiskey,EU,true
37,12/20/2021,true,X-ray Echo Victor Hotel Tango Quebec Golf Sierra Zulu November Delta Uniform Oscar India,NA,false
38,12/11/2021,true,Juliett Papa Hotel Lima Delta India Mike Oscar Romeo Tango Charlie Yankee Uniform Quebec,NA,true
39,7/26/2021,true,Mike Alfa Papa Hotel Golf November Lima Yankee Tango Echo Zulu Whiskey Delta,AS,true
40,9/13/2021,true,Uniform Juliett Mike India Golf X-ray Tango Alfa Papa Hotel Zulu Foxtrot Romeo,AS,true
41,8/8/2021,true,Yankee Alfa Charlie November Lima Romeo Golf Uniform Whiskey India Mike Tango Echo Bravo Delta Papa Zulu Oscar,SA,false
42,12/17/2021,true,Foxtrot Hotel Uniform Kilo Delta Romeo Juliett Mike Alfa November India X-ray Victor Bravo Golf Sierra Charlie Lima Papa,AS,true
43,12/16/2021,true,Mike Juliett Foxtrot Bravo Delta Whiskey Kilo Charlie Victor Zulu Papa November Quebec Alfa,NA,true
44,8/21/2021,true,November Echo Juliett Quebec Mike Papa Kilo India Alfa Romeo,NA,false
45,12/27/2021,false,Yankee Quebec X-ray India Uniform Delta Golf Charlie November Kilo Mike,EU,true
46,12/30/2021,true,Oscar Zulu India Whiskey Mike Papa Charlie Yankee Golf Hotel Lima Alfa Echo Tango Uniform,AF,false
47,11/16/2021,false,Foxtrot Zulu Lima November Kilo Bravo Romeo Uniform X-ray Sierra Delta Alfa Victor Juliett Oscar Quebec Golf Mike India,NA,true
48,7/24/2021,false,Mike Whiskey Alfa Lima Tango Juliett Sierra X-ray Yankee Papa Echo Zulu Delta Uniform Charlie India Golf,AF,true
49,12/7/2021,true,Mike Golf Uniform Tango Juliett Papa Delta Quebec Foxtrot Charlie,AF,false
50,12/5/2021,true,Romeo Uniform Bravo Juliett Lima India Delta Yankee Sierra Alfa X-ray Mike Echo Whiskey Golf,AS,false
