,id,fecha_evento,planeado,lugar,intrusion,evento_y
0,1,2021-12-27,0,AF,1,sistema desarmado x usuario
1,50,2021-11-25,0,OC,1,sistema desarmado x usuario
2,86,2021-11-14,1,SA,1,sistema desarmado x usuario
3,206,2021-09-11,1,AS,0,sistema desarmado x usuario
4,280,2021-09-21,0,OC,1,sistema desarmado x usuario
5,341,2021-11-25,1,AF,0,sistema desarmado x usuario
6,356,2021-12-18,0,AS,1,sistema desarmado x usuario
7,360,2021-09-23,1,AF,0,sistema desarmado x usuario
8,375,2021-07-28,0,EU,0,sistema desarmado x usuario
9,376,2021-09-21,0,EU,0,sistema desarmado x usuario
10,387,2021-08-14,0,OC,1,sistema desarmado x usuario
11,389,2021-12-05,1,AS,0,sistema desarmado x usuario
12,412,2021-12-08,0,EU,1,sistema desarmado x usuario
13,425,2021-11-06,0,EU,1,sistema desarmado x usuario
14,426,2021-12-11,0,AF,1,sistema desarmado x usuario
15,441,2021-10-06,0,AS,0,sistema desarmado x usuario
16,538,2021-12-06,1,AF,0,sistema desarmado x usuario
17,576,2021-08-24,1,AS,0,sistema desarmado x usuario
18,630,2021-11-28,0,OC,1,sistema desarmado x usuario
19,672,2021-07-20,0,AF,1,sistema desarmado x usuario
20,746,2021-10-23,0,SA,1,sistema desarmado x usuario
21,792,2021-09-09,0,EU,0,sistema desarmado x usuario
22,807,2021-09-07,0,AS,0,sistema desarmado x usuario
23,822,2021-09-09,0,OC,1,sistema desarmado x usuario
24,826,2021-08-15,1,OC,0,sistema desarmado x usuario
25,846,2021-11-24,1,AF,1,sistema desarmado x usuario
26,882,2021-08-05,0,AF,1,sistema desarmado x usuario
27,895,2021-07-01,0,AF,1,sistema desarmado x usuario
28,955,2021-10-23,0,AS,1,sistema desarmado x usuario
29,957,2021-09-11,1,SA,0,sistema desarmado x usuario
30,962,2021-08-02,0,AF,0,sistema desarmado x usuario
31,211,2021-11-16,0,SA,0,sistema desarmado x usuario
32,224,2021-07-28,1,EU,0,sistema desarmado x usuario
33,233,2021-12-14,1,OC,0,sistema desarmado x usuario
34,247,2021-08-29,0,EU,1,sistema desarmado x usuario
35,250,2021-08-05,1,OC,1,sistema desarmado x usuario
36,265,2021-12-22,1,AS,1,sistema desarmado x usuario
37,272,2021-09-25,0,AS,0,sistema desarmado x usuario
38,286,2021-08-15,1,EU,1,sistema desarmado x usuario
39,288,2021-08-06,0,SA,0,sistema desarmado x usuario
40,326,2021-09-09,1,AS,1,sistema desarmado x usuario
41,502,2021-07-26,1,AS,0,sistema desarmado x usuario
42,511,2021-08-01,0,AS,0,sistema desarmado x usuario
43,529,2021-09-16,1,SA,1,sistema desarmado x usuario
44,531,2021-08-28,1,AS,0,sistema desarmado x usuario
45,539,2021-08-17,1,AS,1,sistema desarmado x usuario
46,623,2021-12-05,1,AF,1,sistema desarmado x usuario
47,652,2021-11-27,1,AF,1,sistema desarmado x usuario
48,653,2021-10-08,1,OC,0,sistema desarmado x usuario
49,677,2021-11-14,0,AF,1,sistema desarmado x usuario
50,704,2021-11-02,1,AS,0,sistema desarmado x usuario
51,716,2021-07-20,1,EU,1,sistema desarmado x usuario
52,730,2021-09-01,1,OC,0,sistema desarmado x usuario
53,743,2021-11-09,1,AF,1,sistema desarmado x usuario
54,759,2021-10-19,1,AS,0,sistema desarmado x usuario
55,786,2021-12-12,1,OC,1,sistema desarmado x usuario
56,789,2021-08-19,1,EU,0,sistema desarmado x usuario
57,211,2021-11-16,0,SA,0,sistema desarmado x usuario
58,224,2021-07-28,1,EU,0,sistema desarmado x usuario
59,233,2021-12-14,1,OC,0,sistema desarmado x usuario
60,247,2021-08-29,0,EU,1,sistema desarmado x usuario
61,250,2021-08-05,1,OC,1,sistema desarmado x usuario
62,265,2021-12-22,1,AS,1,sistema desarmado x usuario
63,272,2021-09-25,0,AS,0,sistema desarmado x usuario
64,286,2021-08-15,1,EU,1,sistema desarmado x usuario
65,288,2021-08-06,0,SA,0,sistema desarmado x usuario
66,326,2021-09-09,1,AS,1,sistema desarmado x usuario
67,502,2021-07-26,1,AS,0,sistema desarmado x usuario
68,511,2021-08-01,0,AS,0,sistema desarmado x usuario
