id,fecha_evento,planeado,evento,lugar,intrusion
1,11/19/2021,true,Victor Delta India Foxtrot Quebec Juliett Whiskey Alfa Papa Zulu X-ray Kilo Echo Golf November Lima Bravo Oscar Sierra,OC,true
2,12/3/2021,true,Papa Oscar Alfa Kilo India Bravo X-ray November Foxtrot Sierra Charlie Whiskey Juliett Victor Uniform Hotel Yankee Romeo Lima Delta,OC,true
3,9/6/2021,false,Oscar Tango Papa Echo Sierra Zulu Romeo Hotel Juliett Victor Alfa Whiskey Foxtrot Lima Uniform,AF,false
4,7/31/2021,true,Golf Tango Echo Kilo Victor Romeo Mike Papa Uniform Delta,AS,true
5,7/27/2021,true,Uniform Quebec November Foxtrot Romeo Papa India Juliett Tango Echo Lima Yankee Sierra,SA,true
6,11/15/2021,true,Uniform Romeo Whiskey Kilo Golf India X-ray Hotel Quebec Oscar Zulu Tango Alfa Lima Juliett Victor Sierra Echo,AF,false
7,10/27/2021,false,November Foxtrot Oscar Hotel India X-ray Zulu Lima Sierra Golf,AF,false
8,8/8/2021,true,Kilo Delta Bravo India Sierra Yankee Victor Golf Alfa Hotel Lima Papa X-ray Romeo Uniform Echo,EU,false
9,8/7/2021,true,Echo Foxtrot Zulu Alfa Uniform Mike Golf Victor Yankee Delta Charlie,AF,false
10,8/31/2021,true,Oscar Victor Foxtrot Bravo Sierra Romeo Whiskey Echo Papa November Yankee Alfa Zulu X-ray Uniform Kilo Tango Charlie Hotel,EU,false
11,9/18/2021,true,Sierra November Mike India Victor Alfa Lima Yankee Romeo Charlie X-ray Bravo Echo Delta Hotel Zulu,NA,false
12,8/9/2021,false,Tango Lima Oscar Golf Mike Sierra Whiskey Juliett X-ray Delta Quebec Kilo Romeo Victor,NA,true
13,9/26/2021,false,Charlie Mike Quebec Papa Zulu Tango Whiskey Oscar Kilo November Alfa Bravo Golf Delta Juliett X-ray Hotel,AS,false
14,12/17/2021,true,Papa Charlie November X-ray Quebec India Delta Mike Echo Yankee Lima Bravo Uniform Victor Alfa Juliett Golf Oscar Whiskey Foxtrot,SA,true
15,7/10/2021,true,November Oscar Charlie Hotel Whiskey X-ray Juliett Lima Echo Yankee Papa India Foxtrot Mike Zulu Tango Kilo Alfa,OC,false
16,9/11/2021,false,Uniform Charlie November Victor Lima Yankee Delta Juliett Hotel Papa Mike Romeo Bravo,AF,true
17,7/30/2021,true,Mike Juliett Tango Kilo Sierra Victor Alfa Papa Charlie Whiskey Foxtrot Oscar Yankee Delta Uniform Golf Romeo X-ray Quebec Bravo,EU,false
